Date,Price,Open,High,Low,Vol_BTC,Vol_USD,retornos
2019-10-06,8284,8048,8318,7749,600260.0,"4,972,553,840",-0.198
2019-10-13,8198,7882,8293,7797,604740.0,"4,957,658,520",-0.021
2019-10-20,8353,8281,8374,8222,505020.0,"4,218,432,060",0.051
2019-10-27,8208,8224,8315,8155,489400.0,"4,016,995,200",-0.007
2019-11-03,9207,9530,9866,9202,1040.0,"9,575,280",0.159
2019-11-10,9396,9198,9500,9134,681010.0,"6,398,769,960",-0.035
2019-11-17,8736,9036,9066,8649,601160.0,"5,251,733,760",-0.018
2019-11-24,8208,8510,8516,8110,692600.0,"5,684,860,800",-0.058
2019-12-01,7115,6924,7352,6534,1290.0,"9,178,350",-0.186
2019-12-08,7298,7395,7433,7173,687780.0,"5,019,418,440",0.068
2019-12-15,7355,7524,7626,7321,648660.0,"4,770,894,300",0.017
2019-12-22,6903,7128,7153,6864,689560.0,"4,760,032,680",-0.053
2019-12-29,7322,7496,7684,7276,952160.0,"6,971,715,520",0.052
2020-01-05,7261,7397,7420,7244,606110.0,"4,400,964,710",-0.013
2020-01-12,7759,7372,7783,7366,786750.0,"6,104,393,250",-0.003
2020-01-19,8111,8188,8196,8068,610660.0,"4,953,063,260",0.111
2020-01-26,8641,8705,8740,8539,599060.0,"5,176,477,460",0.063
2020-02-02,8866,8608,8983,8585,706450.0,"6,263,385,700",-0.011
2020-02-09,9296,9334,9582,9243,701390.0,"6,520,121,440",0.084
2020-02-16,9854,10151,10181,9774,781220.0,"7,698,141,880",0.088
2020-02-23,9701,9931,9951,9468,961880.0,"9,331,197,880",-0.022
2020-03-01,9662,9943,9981,9507,980000.0,"9,468,760,000",0.001
2020-03-08,8904,8537,8961,8503,1020.0,"9,082,080",-0.141
2020-03-15,7933,8035,8158,7648,1540.0,"12,216,820",-0.059
2020-03-22,5030,5366,5369,4477,2550.0,"12,826,500",-0.332
2020-03-29,6468,5822,6564,5710,1880.0,"12,159,840",0.085
2020-04-05,6391,5890,6576,5872,1430.0,"9,139,130",0.012
2020-04-12,7332,6772,7335,6770,1530.0,"11,217,960",0.15
2020-04-19,6841,6918,6920,6618,1250.0,"8,551,250",0.022
2020-04-26,6833,7122,7207,6771,1260.0,"8,609,580",0.029
2020-05-03,7766,7679,7768,7637,980500.0,"7,614,563,000",0.078
2020-05-10,8874,8885,8945,8553,1120.0,"9,938,880",0.157
2020-05-17,8579,8737,9129,8235,2290.0,"19,645,910",-0.017
2020-05-24,9730,9678,9930,9524,1180.0,"11,481,400",0.108
2020-05-31,8898,8728,8959,8666,941890.0,"8,380,937,220",-0.098
2020-06-07,10189,9454,10301,9429,796680.0,"8,117,372,520",0.083
2020-06-14,9777,9743,9788,9662,431040.0,"4,214,278,080",0.031
2020-06-21,9425,9345,9489,8925,750900.0,"7,077,232,500",-0.041
2020-06-28,9683,9296,9751,9285,523320.00000000006,"5,067,307,560",-0.005
2020-07-05,9185,9122,9229,9033,401120.0,"3,684,287,200",-0.019
2020-07-12,9339,9080,9363,9063,510270.0,"4,765,411,530",-0.005
2020-07-19,9243,9300,9329,9207,456870.0,"4,222,849,410",0.024
